,jurscode,acctid,digxcord,digycord,ooi,resityp,desclu,acres,pflw,sqftstrc,strugrad,desccnst,descstyl,descbldg,lastassd,convey1,tradate,salepric,taxbase,geometry,fips,ct,bg,age,station_name,line,mta_metro,light_rail,marc_penn,marc_camden,x,y,dist_stat,lndist_stat,halfmi_dummy,qmi_dummy,road_name,dist_exit,prsqf,mhinc,occrate
57710,BACO,04080807030490,431847.1,195680.0,H,SF,Residential,0.11,0,1402,4.0,CNST 1/2 Brick Frame,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2015,307500,301600.0,POINT (431847.1000000015 195680),005,408800,2,48.0,LUTHERVILLE,Light Rail,0,1,0,0,432102.3738,195694.8997,255.70825959630267,5.544037183677294,0,1,TIMONIUM RD W,1078.0593659667127,219.32952924393723,90708.0,0.9255419415645616
57711,BACO,04080807000726,431774.4,195636.4,H,SF,Residential,0.184,0,1450,4.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2016,325000,302200.0,POINT (431774.3999999985 195636.3999999985),005,408800,2,53.0,LUTHERVILLE,Light Rail,0,1,0,0,432102.3738,195694.8997,333.15015891889294,5.808593316027472,0,1,TIMONIUM RD W,1100.5792992661968,224.13793103448276,90708.0,0.9255419415645616
57712,BACO,04082200013084,431765.4,195753.2,H,SF,Residential,0.315,0,1822,4.0,CNST Frame,STRY Split Foyer,DWEL Split Foyer,2017.0,1,2017,410000,340300.0,POINT (431765.3999999985 195753.1999999993),005,408800,2,48.0,LUTHERVILLE,Light Rail,0,1,0,0,432102.3738,195694.8997,341.9799217314478,5.83475202695162,0,1,TIMONIUM RD W,985.0462933362812,225.02744237102087,90708.0,0.9255419415645616
57730,BACO,04030313077390,423494.1,189381.4,H,SF,Residential,0.052,0,1536,4.0,CNST Stone,STRY 1 Story With Basement,DWEL Standard Unit,2017.0,1,2017,205000,168900.0,POINT (423494.1000000015 189381.3999999985),005,403401,1,66.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1459.0215308306542,7.285521305665889,0,0,BALTO BELTWAY (INNER LOOP),1468.5648071804326,133.46354166666666,74896.0,0.8869257950530035
57731,BACO,04030311015450,423473.6,189334.7,H,SF,Residential,0.12,0,972,4.0,CNST Shingle Asbestos,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2015,197000,186700.0,POINT (423473.6000000015 189334.6999999993),005,403401,1,72.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1435.278616926909,7.269114267484689,0,0,BALTO BELTWAY (INNER LOOP),1504.0008490926314,202.67489711934155,74896.0,0.8869257950530035
57733,BACO,04030319032200,423414.3,189353.0,N,SF,Residential,0.321,0,1224,4.0,CNST Shingle Asbestos,STRY 1 1/2 Story No Basement,DWEL Standard Unit,2017.0,1,2017,113000,122900.0,POINT (423414.299999997 189353),005,403401,1,94.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1377.24110184647,7.227837575519807,0,0,BALTO BELTWAY (INNER LOOP),1465.9680912025044,92.3202614379085,74896.0,0.8869257950530035
57734,BACO,04032200012218,423355.8,189262.4,H,SF,Residential,1.33,0,2196,4.0,CNST Brick,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2017,362000,235400.0,POINT (423355.799999997 189262.3999999985),005,403401,1,126.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1315.3296819640336,7.181842621907582,0,0,NORTHWEST EXPRESSWAY,1477.9672630446626,164.84517304189436,74896.0,0.8869257950530035
57736,BACO,04031900006051,423291.2,189282.7,H,SF,Residential,0.233,0,1472,4.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2017,204000,165400.0,POINT (423291.200000003 189282.6999999993),005,403401,1,57.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1251.000791259094,7.131699142967985,0,0,NORTHWEST EXPRESSWAY,1410.3933507952395,138.58695652173913,74896.0,0.8869257950530035
57737,BACO,04030319003610,423239.8,189346.2,H,SF,Residential,0.3,0,1484,4.0,CNST Brick,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2017,224000,201500.0,POINT (423239.799999997 189346.1999999993),005,403401,1,63.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1202.708600508112,7.092331459291345,0,0,NORTHWEST EXPRESSWAY,1346.3592496159126,150.9433962264151,74896.0,0.8869257950530035
57738,BACO,04030319061480,423235.4,189267.5,H,SF,Residential,0.183,0,1757,4.0,CNST Brick,STRY 2 Story No Basement,DWEL Standard Unit,2017.0,1,2016,193000,188800.0,POINT (423235.3999999985 189267.5),005,403401,1,62.0,OLD COURT,Metro,1,0,0,0,422040.4864,189255.8957,1194.9699457475501,7.085876314047295,0,0,NORTHWEST EXPRESSWAY,1360.0510204557663,109.84632896983494,74896.0,0.8869257950530035
